retweets,likes,Subjectivity,Polarity
0,3,0.1,0.2
371,0,0.0,0.0
4,0,0.3,0.2
440,0,0.1,0.0
128,0,0.0,0.0
325,0,0.1,0.0
1009,0,0.0,0.0
329,0,0.2,-0.1
328,0,0.0,0.0
26,0,0.6,-0.1
45,0,0.0,0.0
225,0,0.0,0.0
1499,0,0.4,-0.1
23,0,0.2,0.0
23,0,0.2,0.0
854,0,0.0,0.0
1,0,0.0,0.0
145,0,0.0,0.0
2608,0,0.0,0.0
4,0,0.8,-0.2
8,0,0.3,-0.3
11,0,0.3,-0.2
267,0,0.1,0.0
0,1,0.3,0.2
2570,0,0.0,0.0
46,0,0.0,0.0
3010,0,0.4,-0.1
771,0,0.4,-0.1
0,1,0.3,-0.2
0,1,0.8,0.1
83,0,0.0,0.0
3,220,0.6,0.7
79,0,0.0,0.0
164,0,0.3,0.1
51,0,0.0,0.0
108,0,0.6,-0.0
1499,0,0.4,-0.1
1499,0,0.4,-0.1
2570,0,0.0,0.0
11,16,0.0,0.0
898,0,1.0,1.0
325,0,0.1,0.0
214,0,0.0,0.0
1499,0,0.4,-0.1
0,2,0.4,0.3
1009,0,0.0,0.0
66,0,0.5,0.5
415,0,0.0,0.0
0,2,0.0,-0.1
2570,0,0.0,0.0
194,0,0.0,0.0
26,32,0.8,-0.3
795,0,0.4,-0.1
7,0,0.3,-0.1
627,0,0.4,0.0
30,0,0.0,0.0
3010,0,0.4,-0.1
2608,0,0.0,0.0
415,0,0.0,0.0
0,2,0.0,0.0
254,0,0.0,0.0
225,0,0.0,0.0
9,0,0.0,0.0
64,0,0.0,0.0
80,0,0.0,0.0
2,0,0.0,0.0
41,0,0.5,0.0
2570,0,0.0,0.0
214,0,0.0,0.0
328,0,0.0,0.0
18,0,0.0,0.0
1499,0,0.4,-0.1
59,0,0.0,0.0
2608,0,0.0,0.0
0,3,0.4,-0.2
19,0,0.0,0.0
1499,0,0.4,-0.1
10,0,0.0,0.0
350,0,0.0,0.0
47,0,0.0,0.0
54,0,0.0,0.0
54,0,0.0,0.0
328,0,0.0,0.0
1,0,0.0,0.0
898,0,1.0,1.0
41,0,0.5,0.0
3,13,0.5,0.2
68,0,0.2,0.2
133,0,0.0,0.0
350,0,0.0,0.0
6,0,0.0,0.0
2570,0,0.0,0.0
898,0,1.0,1.0
0,1,0.2,-0.1
1499,0,0.4,-0.1
854,0,0.0,0.0
325,0,0.1,0.0
313,0,0.4,-0.1
354,0,0.0,0.0
194,0,0.0,0.0
10,0,0.0,0.0
329,0,0.2,-0.1
1009,0,0.0,0.0
31,0,0.0,0.0
18,0,0.1,0.0
173,0,0.0,0.0
31,0,0.0,0.0
41,0,0.5,0.0
1499,0,0.4,-0.1
23,0,0.2,0.0
1,0,0.0,0.0
0,1,0.5,-0.2
0,1,0.0,0.0
18,0,0.0,0.0
325,0,0.1,0.0
0,2,0.0,0.0
365,0,0.0,0.0
1,0,0.3,0.2
387,0,0.0,0.0
3,0,0.8,0.4
161,0,0.0,0.0
0,1,0.0,0.0
7,0,0.3,-0.1
342,0,0.0,0.0
31,0,0.0,0.0
0,5,0.0,0.0
31,0,0.0,0.0
8,0,0.7,0.6
1499,0,0.4,-0.1
0,2,0.5,-0.2
34,0,0.0,0.0
3,6,0.0,0.0
325,0,0.1,0.0
795,0,0.4,-0.1
41,0,0.5,0.0
1499,0,0.4,-0.1
3010,0,0.4,-0.1
31,0,0.0,0.0
2570,0,0.0,0.0
17,0,0.0,0.0
45,0,0.0,0.0
415,0,0.0,0.0
387,0,0.0,0.0
68,0,0.2,0.2
0,1,0.4,-0.1
0,1,0.0,0.0
23,0,0.2,0.0
325,0,0.1,0.0
83,0,0.0,0.0
161,0,0.0,0.0
173,0,0.0,0.0
1499,0,0.4,-0.1
1499,0,0.4,-0.1
854,0,0.0,0.0
1499,0,0.4,-0.1
370,0,0.0,0.0
328,0,0.0,0.0
34,0,0.0,0.0
325,0,0.1,0.0
0,2,0.0,0.0
2,0,0.0,0.0
161,0,0.0,0.0
23,0,0.2,0.0
440,0,0.1,0.0
2,0,0.0,0.0
9,0,0.0,0.0
854,0,0.0,0.0
6,0,0.4,0.4
7,0,0.3,-0.1
1,1,0.4,0.0
132,0,0.0,0.0
329,0,0.2,-0.1
58,0,0.0,0.0
2607,0,0.0,0.0
10,0,0.0,0.0
0,1,0.5,0.4
3009,0,0.4,-0.1
7,9,0.3,-0.1
24,0,0.0,0.0
31,0,0.0,0.0
8,0,0.7,0.6
223,0,0.0,0.0
108,0,0.4,0.0
22,0,0.0,0.0
325,0,0.1,0.0
1,0,0.5,0.1
108,0,0.4,0.0
1,0,0.0,0.0
854,0,0.0,0.0
21,0,0.5,0.5
1,2,0.6,0.4
854,0,0.0,0.0
31,0,0.0,0.0
794,0,0.4,-0.1
1499,0,0.4,-0.1
0,1,0.2,-0.1
14,0,0.4,-0.1
328,0,0.0,0.0
382,0,0.0,0.0
161,0,0.0,0.0
0,1,0.6,0.5
14,0,0.4,-0.1
11,0,0.4,0.2
142,0,1.0,0.0
1499,0,0.4,-0.1
223,0,0.0,0.0
34,0,0.0,0.0
0,9,0.4,0.0
0,2,0.2,0.1
91,0,0.8,0.4
1,6,0.0,0.0
1499,0,0.4,-0.1
1499,0,0.4,-0.1
365,0,0.0,0.0
7,0,0.5,0.5
2607,0,0.0,0.0
1,0,0.0,0.0
47,0,0.0,0.0
794,0,0.4,-0.1
89,0,0.1,0.0
325,0,0.1,0.0
365,0,0.0,0.0
0,1,0.2,-0.2
325,0,0.1,0.0
5,0,0.0,0.0
80,0,0.0,0.0
0,1,0.5,0.4
1499,0,0.4,-0.1
31,0,0.0,0.0
1,0,0.0,0.0
0,5,0.6,-0.1
31,0,0.0,0.0
2570,0,0.0,0.0
54,0,0.0,0.0
1,0,0.7,-0.3
1499,0,0.4,-0.1
342,0,0.0,0.0
53,0,0.1,0.0
4,0,0.3,0.2
0,3,0.0,0.0
4,245,0.0,0.0
41,0,0.5,0.0
91,0,0.8,0.4
2607,0,0.0,0.0
47,0,0.0,0.0
302,0,0.0,0.0
342,0,0.0,0.0
91,0,0.8,0.4
24,0,0.0,0.0
51,0,0.0,0.0
0,1,0.0,0.0
0,2,0.5,-0.1
66,0,0.5,0.5
353,0,0.5,0.5
